Film.Ratings.Link,film.title,Year,runtime,Director,Language,country,half.star,one.star,one.half.star,two.star,two.half.star,three.star,three.half.star,four.star,four.half.star,five.star,AvgRating
https://letterboxd.com/csi/film/stealing-beauty/rating-histogram/,Stealing Beauty,1996,116,Bernardo Bertolucci,English,France,54,148,166,652,877,2080,1476,1336,333,557,3.24964188
https://letterboxd.com/csi/film/stealing-harvard/rating-histogram/,Stealing Harvard,2002,85,Bruce McCulloch,English,USA,89,334,351,663,417,534,152,109,12,34,2.251391466
https://letterboxd.com/csi/film/stealing-home/rating-histogram/,Stealing Home,1988,98,Steven Kampmann,English,USA,7,25,24,70,97,165,84,68,9,32,2.940619621
https://letterboxd.com/csi/film/stealth/rating-histogram/,Stealth,2005,121,Rob Cohen,English,USA,415,1031,979,1753,1027,969,276,148,11,32,2.026050294
https://letterboxd.com/csi/film/steam-the-turkish-bath/rating-histogram/,Steam: The Turkish Bath,1997,94,Ferzan Özpetek,,Turkish,6,28,39,94,169,424,225,178,32,50,3.104819277
https://letterboxd.com/csi/film/steamboy/rating-histogram/,Steamboy,2004,105,Katsuhiro Otomo,Japanese,Japan,22,55,87,443,586,1685,1347,913,177,186,3.216778767
https://letterboxd.com/csi/film/steel-dawn/rating-histogram/,Steel Dawn,1987,97,Lance Hool,English,USA,17,79,90,236,228,229,78,29,7,9,2.412175649
https://letterboxd.com/csi/film/steel/rating-histogram/,Steel,1997,97,Kenneth Johnson,English,USA,1136,1557,721,689,244,213,62,38,6,36,1.363143343
https://letterboxd.com/csi/film/stella-maris/rating-histogram/,Stella Maris,1918,84,Marshall Neilan,English,USA,0,7,11,16,26,97,92,45,13,13,3.240625
https://letterboxd.com/csi/film/stellas-last-weekend/rating-histogram/,Stella's Last Weekend,2018,102,Polly Draper,English,USA,16,28,33,125,153,465,317,239,47,74,3.179692719
https://letterboxd.com/csi/film/step-sisters/rating-histogram/,Step Sisters,2018,104,Charles Stone III,English,USA,216,345,296,625,410,572,233,217,24,91,2.355397821
https://letterboxd.com/csi/film/step-up-2-the-streets/rating-histogram/,Step Up 2: The Streets,2008,98,Jon M. Chu,English,USA,384,904,912,2702,2544,4580,1901,1842,308,1011,2.834181882
https://letterboxd.com/csi/film/step-up-3d/rating-histogram/,Step Up 3D,2010,107,Jon M. Chu,English,USA,291,713,706,1952,1788,3234,1344,1302,241,923,2.849767889
https://letterboxd.com/csi/film/step-up-all-in/rating-histogram/,Step Up All In,2014,112,Trish Sie,English,USA,298,644,488,1392,1207,1994,737,828,171,538,2.731047367
https://letterboxd.com/csi/film/step-up-revolution/rating-histogram/,Step Up Revolution,2012,99,Scott Speer,English,USA,372,761,665,1863,1514,2560,1135,1243,277,763,2.792208374
https://letterboxd.com/csi/film/step-up/rating-histogram/,Step Up,2006,104,Anne Fletcher,English,USA,468,1251,1226,4407,4406,9020,3934,3480,562,1727,2.922016994
https://letterboxd.com/csi/film/stepfather-ii/rating-histogram/,Stepfather II,1989,93,Jeff Burr,English,USA,10,59,92,326,463,813,332,133,15,33,2.801845343
https://letterboxd.com/csi/film/stepfather-iii/rating-histogram/,Stepfather III,1992,110,Guy Magar,English,UK,25,94,115,211,178,176,56,21,4,10,2.271910112
https://letterboxd.com/csi/film/stephanie/rating-histogram/,Stephanie,2017,86,Akiva Goldsman,English,USA,73,126,157,341,399,509,207,158,18,27,2.569230769
https://letterboxd.com/csi/film/stepsister-from-planet-weird/rating-histogram/,Stepsister from Planet Weird,2000,85,Steve Boyum,,English,38,84,90,194,145,181,71,51,10,41,2.468508287
https://letterboxd.com/csi/film/stereo-2014/rating-histogram/,Stereo,2014,95,Maximilian Erlenwein,German,Germany,7,36,52,136,235,607,576,421,53,23,3.192684063
https://letterboxd.com/csi/film/stereo-tile-3b-of-a-caee-educational-mosaic/rating-histogram/,Stereo (Tile 3B of a CAEE Educational Mosaic),1969,63,David Cronenberg,English,Canada,45,147,162,451,442,570,273,170,31,47,2.625962361
https://letterboxd.com/csi/film/stick/rating-histogram/,Stick,1985,109,Burt Reynolds,English,USA,4,26,27,123,149,207,88,31,5,7,2.694902549
https://letterboxd.com/csi/film/stigmata/rating-histogram/,Stigmata,1999,103,Rupert Wainwright,English,USA,164,648,772,2307,2082,3161,1278,876,137,246,2.657312998
https://letterboxd.com/csi/film/still-born-2017/rating-histogram/,Still/Born,2017,87,Brandon Christensen,English,Canada,52,120,143,375,435,612,324,129,22,20,2.635752688
https://letterboxd.com/csi/film/still-crazy/rating-histogram/,Still Crazy,1998,92,Brian Gibson,English,UK,3,12,13,89,131,362,289,213,45,63,3.283196721
https://letterboxd.com/csi/film/still-of-the-night/rating-histogram/,Still of the Night,1982,91,Robert Benton,English,USA,6,46,69,316,358,544,222,116,16,12,2.747507331
https://letterboxd.com/csi/film/still-smokin/rating-histogram/,Still Smokin,1983,91,Tommy Chong,English,USA,62,118,94,289,276,434,139,91,4,39,2.537839586
https://letterboxd.com/csi/film/still-waiting/rating-histogram/,Still Waiting...,2009,90,Jeff Balis,English,USA,172,245,167,220,143,109,34,20,5,2,1.734556849
https://letterboxd.com/csi/film/stink-bomb/rating-histogram/,Stink Bomb,1995,40,,,,5,18,17,50,121,307,234,168,33,39,3.22983871
https://letterboxd.com/csi/film/stir-crazy/rating-histogram/,Stir Crazy,1980,111,Sidney Poitier,English,USA,24,67,124,530,792,2341,1532,1082,178,231,3.184176206
https://letterboxd.com/csi/film/stir-of-echoes/rating-histogram/,Stir of Echoes,1999,99,David Koepp,English,USA,35,189,254,1136,1679,4946,4114,2657,417,402,3.209836376
https://letterboxd.com/csi/film/stitch-the-movie/rating-histogram/,Stitch! The Movie,2003,60,Tony Craig,English,USA,92,357,433,1609,1788,3383,1090,1007,145,558,2.884247754
https://letterboxd.com/csi/film/stitches-2012/rating-histogram/,Stitches,2012,86,Conor McMahon,English,Ireland,172,288,268,660,710,1206,738,443,97,107,2.733098742
https://letterboxd.com/csi/film/stockholm-2018/rating-histogram/,Stockholm,2018,92,Robert Budreau,English,Canada,10,73,143,553,916,1637,871,392,57,55,2.920650096
https://letterboxd.com/csi/film/stockholm-pennsylvania/rating-histogram/,"Stockholm, Pennsylvania",2015,99,Nikole Beckwith,English,USA,19,51,70,184,173,265,109,66,17,19,2.649537513
https://letterboxd.com/csi/film/stockholm/rating-histogram/,Stockholm,2013,90,Rodrigo Sorogoyen,Spanish,Spain,25,50,54,155,211,523,664,525,93,83,3.276332354
https://letterboxd.com/csi/film/stolen/rating-histogram/,Stolen,2012,96,Simon West,English,USA,237,594,634,1347,986,945,282,151,13,57,2.209683568
https://letterboxd.com/csi/film/stomp-the-yard/rating-histogram/,Stomp the Yard,2007,114,Sylvain White,English,USA,44,109,128,405,432,690,273,217,32,98,2.776153213
https://letterboxd.com/csi/film/stone-2010/rating-histogram/,Stone,2010,105,John Curran,English,USA,100,335,410,1127,1022,1063,393,203,24,35,2.43389219
https://letterboxd.com/csi/film/stone-cold/rating-histogram/,Stone Cold,1991,92,Craig R. Baxley,English,USA,33,104,112,256,314,697,565,548,119,162,3.158591065
https://letterboxd.com/csi/film/stonehearst-asylum/rating-histogram/,Stonehearst Asylum,2014,112,Brad Anderson,English,USA,59,165,258,919,1269,2381,1578,938,178,278,3.016452698
https://letterboxd.com/csi/film/stonewall-2015/rating-histogram/,Stonewall,2015,129,Roland Emmerich,English,USA,326,256,164,271,214,268,112,94,18,68,2.085427136
https://letterboxd.com/csi/film/stop-loss/rating-histogram/,Stop-Loss,2008,113,Kimberly Peirce,English,USA,15,51,101,349,414,694,320,184,20,17,2.797228637
https://letterboxd.com/csi/film/stop-or-my-mom-will-shoot/rating-histogram/,Stop! Or My Mom Will Shoot,1992,87,Roger Spottiswoode,English,USA,802,1699,1213,1843,956,1047,276,208,25,93,1.90051458
https://letterboxd.com/csi/film/storage-24/rating-histogram/,Storage 24,2012,87,Johannes Roberts,English,UK,97,210,185,351,237,241,68,30,6,10,2.082578397
https://letterboxd.com/csi/film/storks/rating-histogram/,Storks,2016,87,Doug Sweetland,English,USA,415,1039,1078,3096,3358,7078,4014,3264,677,1156,2.963892751
https://letterboxd.com/csi/film/storm-boy-2019/rating-histogram/,Storm Boy,2019,99,Shawn Seet,English,Australia,6,13,15,63,119,241,219,129,22,54,3.219636776
https://letterboxd.com/csi/film/storm-boy/rating-histogram/,Storm Boy,1976,88,Henri Safran,English,Australia,1,10,8,30,71,227,171,100,17,19,3.227828746
https://letterboxd.com/csi/film/storm-warning-2007/rating-histogram/,Storm Warning,2007,86,Jamie Blanks,English,Australia,15,48,54,124,200,310,220,117,13,21,2.86631016
https://letterboxd.com/csi/film/stormbreaker/rating-histogram/,Stormbreaker,2006,93,Geoffrey Sax,English,Germany,356,1059,1063,1627,901,826,240,162,20,54,2.007609385
https://letterboxd.com/csi/film/stormy-monday/rating-histogram/,Stormy Monday,1988,93,Mike Figgis,English,UK,6,14,18,145,208,422,270,160,23,21,3.040792541
https://letterboxd.com/csi/film/stowaway-2021/rating-histogram/,Stowaway,2021,117,Joe Penna,English,Germany,224,718,967,3701,5209,8795,4388,2119,262,272,2.831101107
https://letterboxd.com/csi/film/straight-outta-nowhere-scooby-doo-meets-courage-the-cowardly-dog/rating-histogram/,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,2021,72,Cecilia Aranovich,English,USA,16,28,51,142,186,452,339,237,68,120,3.208053691
https://letterboxd.com/csi/film/straight-talk/rating-histogram/,Straight Talk,1992,91,Barnet Kellman,English,USA,6,41,46,206,176,288,119,64,6,34,2.736815416
https://letterboxd.com/csi/film/straight-to-hell/rating-histogram/,Straight to Hell,1987,86,Alex Cox,English,UK,23,39,65,155,163,301,220,195,39,76,3.036050157
https://letterboxd.com/csi/film/straightheads/rating-histogram/,Straightheads,2007,88,Dan Reed,English,UK,40,56,51,118,141,152,50,25,5,9,2.379443586
https://letterboxd.com/csi/film/strange-behavior/rating-histogram/,Strange Behavior,1981,99,Michael Laughlin,English,USA,11,33,54,213,288,696,462,245,44,25,3.029212941
