Title,Release Year,Certificate,Runtime,Genre,IMDB_Rating,Overview,Meta_score,Director_imdb,Star1,Star2,Star3,Star4,No_of_Votes,Gross,Film.Ratings.Link,Year,runtime,Director_boxd,Language,country,half.star,one.star,one.half.star,two.star,two.half.star,three.star,three.half.star,four.star,four.half.star,five.star,AvgRating,Description,Director,Country,Year_criterion,Language_criterion
"Paris, Texas",1984.0,U,145,Drama,8.1,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",78.0,Wim Wenders,Harry Dean Stanton,Nastassja Kinski,Dean Stockwell,Aurore Clément,91188,"2,181,987",https://letterboxd.com/csi/film/paris-texas/rating-histogram/,1984,146.0,Wim Wenders,English,Germany,112,268,224,1083,1310,5346,8916,26991,24028,39775,4.334076796,"New German Cinema pioneer Wim Wenders (Wings of Desire) brings his keen eye for landscape to the American Southwest inParis, Texas,a profoundly moving character study written by Pulitzer Prize–winning playwright Sam Shepard.Paris, Texasfollows the mysterious, nearly mute drifter Travis (a magnificent Harry Dean Stanton, whose face is a landscape all its own) as he tries to reconnect with his young son, living with his brother (Dean Stockwell) in Los Angeles, and his missing wife (Nastassja Kinski). From this simple setup, Wenders and Shepard produce a powerful statement on codes of masculinity and the myth of the American family, as well as an exquisite visual exploration of a vast, crumbling world of canyons and neon.",Wim Wenders,"France,                                              United States,                                              Germany",1984.0,English
Barry Lyndon,1975.0,PG,185,Adventure,8.1,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,89.0,Stanley Kubrick,Ryan O'Neal,Marisa Berenson,Patrick Magee,Hardy Krüger,149843,,https://letterboxd.com/csi/film/barry-lyndon/rating-histogram/,1975,185.0,Stanley Kubrick,English,UK,123,300,237,1192,1409,5541,8031,21371,18594,32255,4.287188528,"Stanley Kubrick bent the conventions of the historical drama to his own will in this dazzling vision of a pitiless aristocracy, adapted from a novel by William Makepeace Thackeray. In picaresque detail,Barry Lyndonchronicles the adventures of an incorrigible trickster (Ryan O’Neal) whose opportunism takes him from an Irish farm to the battlefields of the Seven Years’ War and the parlors of high society. For the most sumptuously crafted film of his career, Kubrick recreated the decadent surfaces and intricate social codes of the period, evoking the light and texture of eighteenth-century painting with the help of pioneering cinematographic techniques and lavish costume and production design, all of which earned Academy Awards. The result is a masterpiece—a sardonic, devastating portrait of a vanishing world whose opulence conceals the moral vacancy at its heart.",Stanley Kubrick,"United States,                                              United Kingdom",1975.0,English
Solaris,1972.0,PG,167,Drama,8.1,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,90.0,Andrei Tarkovsky,Natalya Bondarchuk,Donatas Banionis,Jüri Järvet,Vladislav Dvorzhetskiy,81021,,https://letterboxd.com/csi/film/solaris/rating-histogram/,1972,167.0,Andrei Tarkovsky,Russian,Russian Federation,126,290,253,1150,1329,4486,6769,18174,15015,18678,4.182254414,"Ground control has been receiving mysterious transmissions from the three remaining residents of the Solaris space station. When cosmonaut and psychologist Kris Kelvin is dispatched to investigate, he experiences the same strange phenomena that afflict the Solaris crew, sending him on a voyage into the darkest recesses of his consciousness. WithSolaris,the legendary Russian filmmaker Andrei Tarkovsky created a brilliantly original science-fiction epic that challenges our conceptions about love, truth, and humanity itself.",Andrei Tarkovsky,Soviet Union,1972.0,Russian
Solaris,1972.0,PG,167,Drama,8.1,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,90.0,Andrei Tarkovsky,Natalya Bondarchuk,Donatas Banionis,Jüri Järvet,Vladislav Dvorzhetskiy,81021,,https://letterboxd.com/csi/film/solaris-2002/rating-histogram/,2002,99.0,Steven Soderbergh,English,USA,199,506,524,1958,2415,5146,4027,3729,1063,727,3.164087908,"Ground control has been receiving mysterious transmissions from the three remaining residents of the Solaris space station. When cosmonaut and psychologist Kris Kelvin is dispatched to investigate, he experiences the same strange phenomena that afflict the Solaris crew, sending him on a voyage into the darkest recesses of his consciousness. WithSolaris,the legendary Russian filmmaker Andrei Tarkovsky created a brilliantly original science-fiction epic that challenges our conceptions about love, truth, and humanity itself.",Andrei Tarkovsky,Soviet Union,1972.0,Russian
Persona,1966.0,,85,Drama,8.1,A nurse is put in charge of a mute actress and finds that their personae are melding together.,86.0,Ingmar Bergman,Bibi Andersson,Liv Ullmann,Margaretha Krook,Gunnar Björnstrand,103191,,https://letterboxd.com/csi/film/persona/rating-histogram/,1966,84.0,Ingmar Bergman,Swedish,Sweden,221,357,259,1099,1391,5462,7947,25808,22969,47367,4.37774185,"By the midsixties, Ingmar Bergman had already conjured many of the cinema’s most unforgettable images. But with the radicalPersona,he attained new levels of visual poetry. In the first of a series of legendary performances for Bergman, Liv Ullmann plays a stage actor who has inexplicably gone mute; an equally mesmerizing Bibi Andersson is the garrulous young nurse caring for her in a remote island cottage. While isolated together there, the women undergo a mysterious spiritual and emotional transference. Performed with astonishing nuance and shot in stark contrast and soft light by Sven Nykvist, the influentialPersonais a penetrating, dreamlike work of profound psychological depth.",Ingmar Bergman,Sweden,1966.0,Swedish
Andrei Rublev,1966.0,R,205,Biography,8.1,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",,Andrei Tarkovsky,Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko,Nikolay Sergeev,46947,"102,021",https://letterboxd.com/csi/film/andrei-rublev/rating-histogram/,1966,205.0,Andrei Tarkovsky,Russian,Russian Federation,77,121,90,337,432,1628,2390,6629,6297,13185,4.363336112,"Tracing the life of a renowned icon painter, the second feature by Andrei Tarkovsky vividly conjures the murky world of medieval Russia. This dreamlike and remarkably tactile film follows Andrei Rublev as he passes through a series of poetically linked scenes—snow falls inside an unfinished church, naked pagans stream through a thicket during a torchlit ritual, a boy oversees the clearing away of muddy earth for the forging of a gigantic bell—gradually emerging as a man struggling mightily to preserve his creative and religious integrity. Appearing here in the director’s preferred 183-minute cut as well as the version that was originally suppressed by Soviet authorities, the masterworkAndrei Rublevis one of Tarkovsky’s most revered films, an arresting meditation on art, faith, and endurance.",Andrei Tarkovsky,Soviet Union,1966.0,Russian
Sanjuro,1962.0,U,96,Action,8.1,"A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent.",,Akira Kurosawa,Toshirô Mifune,Tatsuya Nakadai,Keiju Kobayashi,Yûnosuke Itô,33044,,https://letterboxd.com/csi/film/sanjuro/rating-histogram/,1962,96.0,Akira Kurosawa,Japanese,Japan,7,19,21,139,233,1663,3791,9323,4010,3236,4.041039123,"Toshiro Mifune swaggers and snarls to brilliant comic effect in Akira Kurosawa's tightly paced, beautifully composedSanjuro.In this sly companion piece toYojimbo,jaded samurai Sanjuro helps an idealistic group of young warriors weed out their clan's evil influences, and in the process turns their image of a ""proper"" samurai on its ear. Less brazen in tone than its predecessor but equally entertaining, this classic character's return is a masterpiece in its own right.",Akira Kurosawa,Japan,1962.0,Japanese
On the Waterfront,1954.0,A,108,Crime,8.1,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,91.0,Elia Kazan,Marlon Brando,Karl Malden,Lee J. Cobb,Rod Steiger,142107,"9,600,000",https://letterboxd.com/csi/film/on-the-waterfront/rating-histogram/,1954,108.0,Elia Kazan,English,USA,38,110,126,573,875,4079,6856,16711,10219,10925,4.104747387,"Marlon Brando gives the performance of his career as the tough prizefighter-turned-longshoreman Terry Malloy in this masterpiece of urban poetry. A raggedly emotional tale of individual failure and social corruption,On the Waterfrontfollows Terry’s deepening moral crisis as he must decide whether to remain loyal to the mob-connected union boss Johnny Friendly (Lee J. Cobb) and Johnny’s right-hand man, Terry’s brother, Charley (Rod Steiger), as the authorities close in on them. Driven by the vivid, naturalistic direction of Elia Kazan and savory, streetwise dialogue by Budd Schulberg, On the Waterfront was an instant sensation, winning eight Oscars®, including for best picture, director, actor, supporting actress (Eva Marie Saint), and screenplay.",Elia Kazan,United States,1954.0,English
Ace in the Hole,1951.0,Approved,111,Drama,8.1,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",72.0,Billy Wilder,Kirk Douglas,Jan Sterling,Robert Arthur,Porter Hall,31568,"3,969,893",https://letterboxd.com/csi/film/ace-in-the-hole/rating-histogram/,1951,111.0,Billy Wilder,English,USA,10,25,28,164,265,1407,2898,8021,6060,4586,4.164272929,"Billy Wilder’sAce in the Holeis one of the most scathing indictments of American culture ever produced by a Hollywood filmmaker. Kirk Douglas gives the fiercest performance of his career as Chuck Tatum, an amoral newspaper reporter who washes up in dead-end Albuquerque, happens upon the scoop of a lifetime, and will do anything to keep getting the lurid headlines. Wilder’s follow-up toSunset Boulevardis an even darker vision, a no-holds-barred exposé of the American media’s appetite for sensation that has gotten only more relevant with time.",Billy Wilder,United States,1951.0,English
The Third Man,1949.0,Approved,104,Film-Noir,8.1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",97.0,Carol Reed,Orson Welles,Joseph Cotten,Alida Valli,Trevor Howard,158731,"449,191",https://letterboxd.com/csi/film/the-third-man/rating-histogram/,1949,104.0,Carol Reed,English,UK,45,108,124,596,990,4424,7554,19111,13064,18634,4.208762568,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, black-market opportunist Harry Lime—and thus begins this legendary tale of love, deception, and murder. Thanks to brilliant performances by Joseph Cotten, Alida Valli, and Orson Welles; Anton Karas's evocative zither score; Graham Greene’s razor-sharp dialogue; and Robert Krasker’s dramatic use of light and shadow,The Third Man, directed by the inimitable Carol Reed, only grows in stature as the years pass.",Carol Reed,United Kingdom,1949.0,English
The Red Shoes,1948.0,,135,Drama,8.1,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,,Michael Powell,Emeric Pressburger,Anton Walbrook,Marius Goring,Moira Shearer,30935,"10,900,000",https://letterboxd.com/csi/film/the-red-shoes/rating-histogram/,1948,133.0,Emeric Pressburger,English,UK,36,75,71,360,496,2126,3345,9026,7591,12313,4.291134061,"The Red Shoes, the singular fantasia from Michael Powell and Emeric Pressburger, is cinema’s quintessential backstage drama, as well as one of the most glorious Technicolor feasts ever concocted for the screen. Moira Shearer is a rising star ballerina torn between an idealistic composer and a ruthless impresario intent on perfection. Featuring outstanding performances, blazingly beautiful cinematography by Jack Cardiff, Oscar-winning sets and music, and an unforgettable, hallucinatory central dance sequence, this beloved classic, now dazzlingly restored, stands as an enthralling tribute to the life of the artist.The Red Shoeswas restored by the UCLA Film & Television Archive in association with the BFI, The Film Foundation, ITV Global Entertainment Ltd., and Janus Films. Restoration funding provided by the Hollywood Foreign Press Association, The Film Foundation, and the Louis B. Mayer Foundation.",Michael Powell and Emeric Pressburger,United Kingdom,1948.0,"French,                                          English"
The Red Shoes,1948.0,,135,Drama,8.1,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,,Michael Powell,Emeric Pressburger,Anton Walbrook,Marius Goring,Moira Shearer,30935,"10,900,000",https://letterboxd.com/csi/film/the-red-shoes-2005/rating-histogram/,2005,108.0,Kim Yong-gyun,Korean,South Korea,11,46,46,129,175,306,139,86,14,28,2.823979592,"The Red Shoes, the singular fantasia from Michael Powell and Emeric Pressburger, is cinema’s quintessential backstage drama, as well as one of the most glorious Technicolor feasts ever concocted for the screen. Moira Shearer is a rising star ballerina torn between an idealistic composer and a ruthless impresario intent on perfection. Featuring outstanding performances, blazingly beautiful cinematography by Jack Cardiff, Oscar-winning sets and music, and an unforgettable, hallucinatory central dance sequence, this beloved classic, now dazzlingly restored, stands as an enthralling tribute to the life of the artist.The Red Shoeswas restored by the UCLA Film & Television Archive in association with the BFI, The Film Foundation, ITV Global Entertainment Ltd., and Janus Films. Restoration funding provided by the Hollywood Foreign Press Association, The Film Foundation, and the Louis B. Mayer Foundation.",Michael Powell and Emeric Pressburger,United Kingdom,1948.0,"French,                                          English"
Rebecca,1940.0,Approved,130,Drama,8.1,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,86.0,Alfred Hitchcock,Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson,123942,"4,360,000",https://letterboxd.com/csi/film/rebecca/rating-histogram/,1940,130.0,Alfred Hitchcock,English,USA,37,103,113,576,912,4507,7589,18753,10308,9445,4.058393673,"Romance becomes psychodrama in the elegantly craftedRebecca,Alfred Hitchcock’s first foray into Hollywood filmmaking. A dreamlike adaptation of Daphne du Maurier’s 1938 novel, the film stars the enchanting Joan Fontaine as a young woman who believes she has found her heart’s desire when she marries the dashing aristocratic widower Maxim de Winter (played with cunning vulnerability by Laurence Olivier). But upon moving to Manderley—her groom’s baroque ancestral mansion—she soon learns that his deceased wife haunts not only the estate but the temperamental, brooding Maxim as well. The start of Hitchcock’s legendary collaboration with producer David O. Selznick, this elegiac gothic vision, captured in stunning black and white by George Barnes, took home the Academy Awards for best picture and best cinematography.",Alfred Hitchcock,United States,1940.0,English
Rebecca,1940.0,Approved,130,Drama,8.1,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,86.0,Alfred Hitchcock,Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson,123942,"4,360,000",https://letterboxd.com/csi/film/rebecca-2020/rating-histogram/,2020,123.0,Ben Wheatley,English,UK,999,2851,3238,8849,7450,8798,3570,2541,400,666,2.507837508,"Romance becomes psychodrama in the elegantly craftedRebecca,Alfred Hitchcock’s first foray into Hollywood filmmaking. A dreamlike adaptation of Daphne du Maurier’s 1938 novel, the film stars the enchanting Joan Fontaine as a young woman who believes she has found her heart’s desire when she marries the dashing aristocratic widower Maxim de Winter (played with cunning vulnerability by Laurence Olivier). But upon moving to Manderley—her groom’s baroque ancestral mansion—she soon learns that his deceased wife haunts not only the estate but the temperamental, brooding Maxim as well. The start of Hitchcock’s legendary collaboration with producer David O. Selznick, this elegiac gothic vision, captured in stunning black and white by George Barnes, took home the Academy Awards for best picture and best cinematography.",Alfred Hitchcock,United States,1940.0,English
It Happened One Night,1934.0,Approved,105,Comedy,8.1,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",87.0,Frank Capra,Clark Gable,Claudette Colbert,Walter Connolly,Roscoe Karns,94016,"4,360,000",https://letterboxd.com/csi/film/it-happened-one-night/rating-histogram/,1934,105.0,Frank Capra,English,USA,24,63,75,413,691,3228,5667,12986,7064,7459,4.069192992,"Opposites attract with magnetic force in this romantic road-trip delight from Frank Capra, about a spoiled runaway socialite (Claudette Colbert) and a roguish man-of-the-people reporter (Clark Gable) who is determined to get the scoop on her scandalous disappearance. The first film to accomplish the very rare feat of sweeping all five major Oscar categories (best picture, best actor, best actress, best director, and best screenplay),It Happened One Nightis among the most gracefully constructed and edited films of the early sound era, packed with clever situations and gags that have entered the Hollywood comedy pantheon and featuring two actors at the top of their game, sparking with a chemistry that has never been bettered.",Frank Capra,United States,1934.0,English
The Circus,1928.0,Passed,72,Comedy,8.1,The Tramp finds work and the girl of his dreams at a circus.,90.0,Charles Chaplin,Charles Chaplin,Merna Kennedy,Al Ernest Garcia,Harry Crocker,30205,,https://letterboxd.com/csi/film/the-circus/rating-histogram/,1928,72.0,Charlie Chaplin,English,USA,7,14,21,139,259,1404,3053,6403,2409,2192,3.979906924,"In the last film he made during the silent era, Charlie Chaplin revels in the art of the circus, paying tribute to the acrobats and pantomimists who inspired his virtuoso pratfalls. After being mistaken for a pickpocket, Chaplin’s Tramp flees into the ring of a traveling circus and soon becomes the star of the show, falling for the troupe’s bareback rider along the way. Despite its famously troubled production, this gag-packed comedy ranks among Chaplin’s finest, thanks to some of the most audacious set pieces of the director-performer’s career, including a close brush with a lion and a climactic tightrope walk with a barrelful of monkeys.The Circus,which was rereleased in 1969 with a new score by Chaplin, is an uproarious high-wire act that showcases silent cinema’s most popular entertainer at the peak of his comic powers.",Charles Chaplin,United States,1928.0,Silent
Beauty and the Beast,1991.0,G,84,Animation,8.0,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,95.0,Gary Trousdale,Kirk Wise,Paige O'Hara,Robby Benson,Jesse Corti,417178,"218,967,620",https://letterboxd.com/csi/film/beauty-and-the-beast-1978/rating-histogram/,1978,91.0,Juraj Herz,Czech,Czechoslovakia,3,9,6,34,46,179,358,569,230,215,3.86810188,"Jean Cocteau’s sublime adaptation of Mme. Leprince de Beaumont’s fairy-tale masterpiece—in which the pure love of a beautiful girl melts the heart of a feral but gentle beast—is a landmark of motion picture fantasy, with unforgettably romantic performances by Jean Marais and Josette Day. The spectacular visions of enchantment, desire, and death inBeauty and the Beast(La Belle et la Bête) have become timeless icons of cinematic wonder.",Jean Cocteau,France,1946.0,French
Beauty and the Beast,1991.0,G,84,Animation,8.0,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,95.0,Gary Trousdale,Kirk Wise,Paige O'Hara,Robby Benson,Jesse Corti,417178,"218,967,620",https://letterboxd.com/csi/film/beauty-and-the-beast-1991/rating-histogram/,1991,84.0,Gary Trousdale,English,USA,276,826,737,4693,6053,30339,29082,55197,18743,39862,3.895599221,"Jean Cocteau’s sublime adaptation of Mme. Leprince de Beaumont’s fairy-tale masterpiece—in which the pure love of a beautiful girl melts the heart of a feral but gentle beast—is a landmark of motion picture fantasy, with unforgettably romantic performances by Jean Marais and Josette Day. The spectacular visions of enchantment, desire, and death inBeauty and the Beast(La Belle et la Bête) have become timeless icons of cinematic wonder.",Jean Cocteau,France,1946.0,French
Beauty and the Beast,1991.0,G,84,Animation,8.0,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,95.0,Gary Trousdale,Kirk Wise,Paige O'Hara,Robby Benson,Jesse Corti,417178,"218,967,620",https://letterboxd.com/csi/film/beauty-and-the-beast/rating-histogram/,1946,96.0,Jean Cocteau,French,France,19,53,57,281,436,1709,2711,5970,3117,3801,4.039164922,"Jean Cocteau’s sublime adaptation of Mme. Leprince de Beaumont’s fairy-tale masterpiece—in which the pure love of a beautiful girl melts the heart of a feral but gentle beast—is a landmark of motion picture fantasy, with unforgettably romantic performances by Jean Marais and Josette Day. The spectacular visions of enchantment, desire, and death inBeauty and the Beast(La Belle et la Bête) have become timeless icons of cinematic wonder.",Jean Cocteau,France,1946.0,French
Beauty and the Beast,1991.0,G,84,Animation,8.0,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,95.0,Gary Trousdale,Kirk Wise,Paige O'Hara,Robby Benson,Jesse Corti,417178,"218,967,620",https://letterboxd.com/csi/film/beauty-and-the-beast-2014/rating-histogram/,2014,112.0,Christophe Gans,French,France,145,356,399,1130,1090,1847,993,768,168,315,2.833379559,"Jean Cocteau’s sublime adaptation of Mme. Leprince de Beaumont’s fairy-tale masterpiece—in which the pure love of a beautiful girl melts the heart of a feral but gentle beast—is a landmark of motion picture fantasy, with unforgettably romantic performances by Jean Marais and Josette Day. The spectacular visions of enchantment, desire, and death inBeauty and the Beast(La Belle et la Bête) have become timeless icons of cinematic wonder.",Jean Cocteau,France,1946.0,French
Beauty and the Beast,1991.0,G,84,Animation,8.0,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,95.0,Gary Trousdale,Kirk Wise,Paige O'Hara,Robby Benson,Jesse Corti,417178,"218,967,620",https://letterboxd.com/csi/film/beauty-and-the-beast-2017/rating-histogram/,2017,129.0,Bill Condon,English,USA,3043,7852,7511,23378,22334,51596,30532,33181,6959,15941,3.106977813,"Jean Cocteau’s sublime adaptation of Mme. Leprince de Beaumont’s fairy-tale masterpiece—in which the pure love of a beautiful girl melts the heart of a feral but gentle beast—is a landmark of motion picture fantasy, with unforgettably romantic performances by Jean Marais and Josette Day. The spectacular visions of enchantment, desire, and death inBeauty and the Beast(La Belle et la Bête) have become timeless icons of cinematic wonder.",Jean Cocteau,France,1946.0,French
Do the Right Thing,1989.0,R,120,Comedy,8.0,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",93.0,Spike Lee,Danny Aiello,Ossie Davis,Ruby Dee,Richard Edson,89429,"27,545,445",https://letterboxd.com/csi/film/do-the-right-thing/rating-histogram/,1989,120.0,Spike Lee,English,USA,151,314,266,1250,1510,7007,10969,36420,31678,51733,4.340981472,"Set on one block of Brooklyn’s Bed-Stuy Do or Die neighborhood, at the height of summer, this 1989 masterpiece by Spike Lee confirmed him as a writer and filmmaker of peerless vision and passionate social engagement. Over the course of a single day, the easygoing interactions of a cast of unforgettable characters—Da Mayor, Mother Sister, Mister Señor Love Daddy, Tina, Sweet Dick Willie, Buggin Out, Radio Raheem, Sal, Pino, Vito, and Lee’s Mookie among them—give way to heated confrontations as tensions rise along racial fault lines, ultimately exploding into violence. Punctuated by the anthemic refrain of Public Enemy’s “Fight the Power,”Do the Right Thingis a landmark in American cinema, as politically and emotionally charged and as relevant now as when it first hit the big screen.",Spike Lee,United States,1989.0,English
The Princess Bride,1987.0,U,98,Adventure,8.0,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",77.0,Rob Reiner,Cary Elwes,Mandy Patinkin,Robin Wright,Chris Sarandon,393899,"30,857,814",https://letterboxd.com/csi/film/the-princess-bride/rating-histogram/,1987,99.0,Rob Reiner,English,USA,529,1329,836,4223,4753,21278,27525,62632,29189,59589,4.073809602,"A high-spirited adventure that pits true love against inconceivable odds,The Princess Bridehas charmed legions of fans with its irreverent gags, eccentric ensemble, and dazzling swordplay. A kid (Fred Savage), home sick from school, grudgingly allows his grandfather (Peter Falk) to read him a dusty storybook—which is how we meet the innocent Buttercup (Robin Wright, in her breakout role), about to marry the nefarious Prince Humperdinck (Chris Sarandon) though her heart belongs to Westley (Cary Elwes). The wedding plans are interrupted, however, by a mysterious pirate, a vengeful Spaniard, and a good-natured giant, in a tale full of swashbuckling, romance, and outrageously hilarious spoofery. Directed by Rob Reiner from an endlessly quotable script by William Goldman,The Princess Bridereigns as a fairy-tale classic.",Rob Reiner,United States,1987.0,English
Kagemusha,1980.0,U,180,Drama,8.0,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.,84.0,Akira Kurosawa,Tatsuya Nakadai,Tsutomu Yamazaki,Ken'ichi Hagiwara,Jinpachi Nezu,32195,,https://letterboxd.com/csi/film/kagemusha/rating-histogram/,1980,180.0,Akira Kurosawa,Japanese,Japan,8,25,34,140,284,1258,2236,5812,3372,2941,4.084233395,"When a warlord dies, a peasant thief is called upon to impersonate him, and then finds himself haunted by the warlord’s spirit as well as his own ambitions. In his late color masterpieceKagemusha,Akira Kurosawa returns to the samurai film and to a primary theme of his career—the play between illusion and reality. Sumptuously reconstructing the splendor of feudal Japan and the pageantry of war, Kurosawa creates a historical epic that is also a meditation on the nature of power.",Akira Kurosawa,Japan,1980.0,Japanese
Being There,1979.0,PG,130,Comedy,8.0,"A simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful businessman and an insider in Washington politics.",83.0,Hal Ashby,Peter Sellers,Shirley MacLaine,Melvyn Douglas,Jack Warden,65625,"30,177,511",https://letterboxd.com/csi/film/being-there/rating-histogram/,1979,130.0,Hal Ashby,English,Germany,45,114,127,511,721,2655,4198,8987,4963,4947,3.990978436,"In one of his most finely tuned performances, Peter Sellers plays the pure-hearted, childlike Chance, a gardener who is forced into the wilds of Washington, D.C., when his wealthy guardian dies. Shocked to discover that the real world doesn’t respond to the click of a remote, Chance stumbles into celebrity after being taken under the wing of a tycoon (Melvyn Douglas, in an Oscar-winning performance), who mistakes his protégé’s horticultural mumblings for sagacious pronouncements on life and politics, and whose wife (Shirley MacLaine) targets Chance as the object of her desire. Adapted from a novel by Jerzy Kosinski, this satire, both deeply melancholy and hilarious, is the culmination of Hal Ashby’s remarkable string of films in the 1970s, and a carefully modulated examination of the ideals, anxieties, and media-fueled delusions that shaped American culture during that decade.",Hal Ashby,United States,1979.0,English
The Last Picture Show,1971.0,R,118,Drama,8.0,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.",93.0,Peter Bogdanovich,Timothy Bottoms,Jeff Bridges,Cybill Shepherd,Ben Johnson,42456,"29,133,000",https://letterboxd.com/csi/film/the-last-picture-show/rating-histogram/,1971,119.0,Peter Bogdanovich,English,USA,46,100,79,450,573,2278,3722,8819,6045,6457,4.102296195,"The Last Picture Showis one of the key films of the American cinema renaissance of the seventies. Set during the early fifties, in the loneliest Texas nowheresville to ever dust up a movie screen, this aching portrait of a dying West, adapted from Larry McMurtry’s novel, focuses on the daily shuffles of three futureless teens—the enigmatic Sonny (Timothy Bottoms), the wayward jock Duane (Jeff Bridges), and the desperate-to-be-adored rich girl Jacy (Cybil Shepherd)—and the aging lost souls who bump up against them in the night like drifting tumbleweeds, including Cloris Leachman’s lonely housewife and Ben Johnson’s grizzled movie-house proprietor. Featuring evocative black-and-white imagery and profoundly felt performances, this hushed depiction of crumbling American values remains the pivotal film in the career of the invaluable director and film historian Peter Bogdanovich.",Peter Bogdanovich,United States,1971.0,English
The Graduate,1967.0,A,106,Comedy,8.0,A disillusioned college graduate finds himself torn between his older lover and her daughter.,83.0,Mike Nichols,Dustin Hoffman,Anne Bancroft,Katharine Ross,William Daniels,253676,"104,945,305",https://letterboxd.com/csi/film/the-graduate/rating-histogram/,1967,106.0,Mike Nichols,English,USA,220,634,505,2568,2884,13781,18893,46403,26516,32443,4.062666124,"One of the most beloved American films of all time,The Graduateearned Mike Nichols a best director Oscar, brought the music of Simon & Garfunkel to a wider audience, and introduced the world to a young actor named Dustin Hoffman. Benjamin Braddock (Hoffman) has just finished college and is already lost in a sea of confusion and barely contained angst when he becomes sexually involved with a friend of his parents’, the indomitable Mrs. Robinson (Anne Bancroft), before turning his attention to her college-age daughter (Katharine Ross). Visually imaginative and impeccably acted, with a clever, endlessly quotable script by Buck Henry (based on the novel by Charles Webb),The Graduatehad the kind of cultural impact that comes along only once in a generation.",Mike Nichols,United States,1967.0,English
8½,1963.0,,138,Drama,8.0,A harried movie director retreats into his memories and fantasies.,91.0,Federico Fellini,Marcello Mastroianni,Anouk Aimée,Claudia Cardinale,Sandra Milo,108844,"50,690",https://letterboxd.com/csi/film/8-half/rating-histogram/,1963,139.0,Federico Fellini,Italian,Italy,231,381,367,1246,1592,5043,6818,18368,14979,30031,4.269675926,"Marcello Mastroianni plays Guido Anselmi, a director whose new project is collapsing around him, along with his life. One of the greatest films about film ever made, Federico Fellini’s8½(Otto e mezzo) turns one man’s artistic crisis into a grand epic of the cinema. An early working title for8½wasThe Beautiful Confusion,and Fellini’s masterpiece is exactly that: a shimmering dream, a circus, and a magic act.",Federico Fellini,"Italy,                                              France",1963.0,"German,                                          English,                                          French,                                          Italian"
