Title,Release Year,Certificate,Runtime,Genre,IMDB_Rating,Overview,Meta_score,Director_imdb,Star1,Star2,Star3,Star4,No_of_Votes,Gross,Film.Ratings.Link,Year,runtime,Director_boxd,Language,country,half.star,one.star,one.half.star,two.star,two.half.star,three.star,three.half.star,four.star,four.half.star,five.star,AvgRating,Description,Director,Country,Year_criterion,Language_criterion
The Kid,1921.0,Passed,68,Comedy,8.3,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",,Charles Chaplin,Charles Chaplin,Edna Purviance,Jackie Coogan,Carl Miller,113314,"5,450,000",https://letterboxd.com/csi/film/the-kid-2019/rating-histogram/,2019,100.0,Vincent D'Onofrio,English,USA,22,93,158,558,772,1103,472,220,39,28,2.754256854,"Charlie Chaplin was already an international star when he decided to break out of the short-film format and make his first full-length feature.The Kiddoesn’t merely show Chaplin at a turning point, when he proved that he was a serious film director—it remains an expressive masterwork of silent cinema. In it, he stars as his lovable Tramp character, this time raising an orphan (a remarkable young Jackie Coogan) he has rescued from the streets. Chaplin and Coogan make a miraculous pair in this nimble marriage of sentiment and slapstick, a film that is, as its opening title card states, “a picture with a smile—and perhaps, a tear.”",Charles Chaplin,United States,1921.0,English
Ran,1985.0,U,162,Action,8.2,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",96.0,Akira Kurosawa,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,Daisuke Ryû,112505,"4,135,750",https://letterboxd.com/csi/film/ran/rating-histogram/,1985,160.0,Akira Kurosawa,Japanese,Japan,41,95,115,403,595,2399,4303,13757,12976,21405,4.373121289,"WithRan, legendary director Akira Kurosawa reimagines Shakespeare'sKing Learas a singular historical epic set in sixteenth-century Japan. Majestic in scope, the film is Kurosawa's late-life masterpiece, a profound examination of the folly of war and the crumbling of one family under the weight of betrayal, greed, and the insatiable thirst for power.",Akira Kurosawa,Japan,1985.0,Japanese
Stalker,1979.0,U,162,Drama,8.2,A guide leads two men through an area known as the Zone to find a room that grants wishes.,,Andrei Tarkovsky,Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn,Nikolay Grinko,116945,"234,723",https://letterboxd.com/csi/film/stalker/rating-histogram/,1979,162.0,Andrei Tarkovsky,Russian,Russian Federation,258,483,406,1254,1392,4494,6357,19475,19080,45216,4.397505462,"Andrei Tarkovsky’s final Soviet feature is a metaphys­ical journey through an enigmatic postapocalyptic landscape, and a rarefied cinematic experience like no other. A hired guide—the Stalker—leads a writer and a professor into the heart of the Zone, the restricted site of a long-ago disaster, where the three men eventually zero in on the Room, a place rumored to fulfill one’s most deeply held desires. Adapting a science-fiction novel by Arkady and Boris Strugatsky, Tarkovsky created an immersive world with a wealth of material detail and a sense of organic atmosphere. A religious allegory, a reflection of contemporaneous political anxieties, a meditation on film itself—Stalkerenvelops the viewer by opening up a multitude of possible meanings.",Andrei Tarkovsky,Soviet Union,1979.0,Russian
Some Like It Hot,1959.0,U,121,Comedy,8.2,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",98.0,Billy Wilder,Marilyn Monroe,Tony Curtis,Jack Lemmon,George Raft,243943,"25,000,000",https://letterboxd.com/csi/film/some-like-it-hot/rating-histogram/,1959,122.0,Billy Wilder,English,USA,67,183,203,1029,1545,6962,11278,27866,16638,23153,4.148491971,"One of the most beloved films of all time, this sizzling masterpiece by Billy Wilder set a new standard for Hollywood comedy. After witnessing a mob hit, Chicago musicians Joe and Jerry (Tony Curtis and Jack Lemmon, in landmark performances) skip town by donning drag and joining an all-female band en route to Miami. The charm of the group’s singer, Sugar Kane (Marilyn Monroe, at the height of her bombshell powers) leads them ever further into extravagant lies, as Joe assumes the persona of a millionaire to woo her and Jerry’s female alter ego winds up engaged to a tycoon. With a whip-smart script by Wilder and I. A. L. Diamond, and sparking chemistry among its finely tuned cast,Some Like It Hotis as deliriously funny and fresh today as it was when it first knocked audiences out six decades ago.",Billy Wilder,United States,1959.0,English
All About Eve,1950.0,Passed,138,Drama,8.2,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,98.0,Joseph L. Mankiewicz,Bette Davis,Anne Baxter,George Sanders,Celeste Holm,120539,"10,177",https://letterboxd.com/csi/film/all-about-eve/rating-histogram/,1950,139.0,Joseph L. Mankiewicz,English,USA,36,80,69,380,588,2749,4590,13489,9584,13963,4.253261729,"In Joseph L. Mankiewicz’s devastatingly witty Hollywood classic, backstage is where the real drama plays out. One night, Margo Channing (Bette Davis) entertains a surprise dressing-room visitor: her most adoring fan, the shy, wide-eyed Eve Harrington (Anne Baxter). But as Eve becomes a fixture in Margo’s life, the Broadway legend soon realizes that her supposed admirer intends to use her and everyone in her circle, including George Sanders’s acid-tongued critic, as stepping-stones to stardom. Featuring stiletto-sharp dialogue and direction by Mankiewicz, and an unforgettable Davis in the role that revived her career and came to define it, the multiple-Oscar-winningAll About Eveis the most deliciously entertaining film ever made about the ruthlessness of show business.",Joseph L. Mankiewicz,United States,1950.0,English
To Be or Not to Be,1942.0,Passed,99,Comedy,8.2,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",86.0,Ernst Lubitsch,Carole Lombard,Jack Benny,Robert Stack,Felix Bressart,29915,,https://letterboxd.com/csi/film/to-be-or-not-to-be-1983/rating-histogram/,1983,107.0,Alan Johnson,English,USA,12,34,28,157,279,823,719,599,108,108,3.313916986,"As nervy as it is hilarious, this screwball masterpiece from Ernst Lubitsch stars Jack Benny and, in her final screen appearance, Carole Lombard as husband-and-wife thespians in Nazi-occupied Warsaw who become caught up in a dangerous spy plot.To Be or Not to Beis a Hollywood film of the boldest black humor, which went into production right before the U.S. entered World War II. Lubitsch manages to brilliantly balance political satire, romance, slapstick, and wartime suspense in a comic high-wire act that has never been equaled.",Ernst Lubitsch,United States,1942.0,English
To Be or Not to Be,1942.0,Passed,99,Comedy,8.2,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",86.0,Ernst Lubitsch,Carole Lombard,Jack Benny,Robert Stack,Felix Bressart,29915,,https://letterboxd.com/csi/film/to-be-or-not-to-be/rating-histogram/,1942,99.0,Ernst Lubitsch,English,USA,15,31,30,148,224,1177,2290,6390,4856,4993,4.21070259,"As nervy as it is hilarious, this screwball masterpiece from Ernst Lubitsch stars Jack Benny and, in her final screen appearance, Carole Lombard as husband-and-wife thespians in Nazi-occupied Warsaw who become caught up in a dangerous spy plot.To Be or Not to Beis a Hollywood film of the boldest black humor, which went into production right before the U.S. entered World War II. Lubitsch manages to brilliantly balance political satire, romance, slapstick, and wartime suspense in a comic high-wire act that has never been equaled.",Ernst Lubitsch,United States,1942.0,English
The Gold Rush,1925.0,Passed,95,Adventure,8.2,A prospector goes to the Klondike in search of gold and finds it and more.,,Charles Chaplin,Charles Chaplin,Mack Swain,Tom Murray,Henry Bergman,101053,"5,450,000",https://letterboxd.com/csi/film/the-gold-rush/rating-histogram/,1925,89.0,Charlie Chaplin,English,USA,32,42,95,365,589,3224,5330,12273,6276,7101,4.064002038,"Charlie Chaplin’s comedic masterwork—which charts a prospector’s search for fortune in the Klondike and his discovery of romance (with the beautiful Georgia Hale)—forever cemented the iconic status of Chaplin and his Little Tramp character. Shot partly on location in the Sierra Nevadas and featuring such timeless gags as the dance of the dinner rolls and the meal of boiled shoe leather,The Gold Rushis an indelible work of heartwarming hilarity. This special edition features both Chaplin’s definitive 1942 version, for which the director added new music and narration, and a new restoration of the original 1925 silent film.",Charles Chaplin,United States,1942.0,English
Before Sunset,2004.0,R,80,Drama,8.1,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",90.0,Richard Linklater,Ethan Hawke,Julie Delpy,Vernon Dobtcheff,Louise Lemoine Torrès,236311,"5,820,649",https://letterboxd.com/csi/film/before-sunset/rating-histogram/,2004,80.0,Richard Linklater,English,USA,255,522,351,1720,1924,10136,14501,42860,32286,59195,4.29489771,"In the breathtaking follow-up toBefore Sunrise,Celine tracks down Jesse, now an author, at the tail end of his book tour in Paris, with only a few hours left before he is to board a flight back home to the States. Meeting almost a decade after their short-lived romance in Vienna, the pair find their chemistry rekindled by increasingly candid exchanges about professional setbacks, marital disappointments, and the compromises of adulthood. Impelled by an urgent sense of the transience of human connection,Before Sunsetremains Richard Linklater’s most seductive experiment with time’s inexorable passage and the way love can seem to stop it in its tracks.",Richard Linklater,United States,2004.0,English
Before Sunrise,1995.0,R,101,Drama,8.1,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",77.0,Richard Linklater,Ethan Hawke,Julie Delpy,Andrea Eckert,Hanno Pöschl,272291,"5,535,405",https://letterboxd.com/csi/film/before-sunrise/rating-histogram/,1995,101.0,Richard Linklater,English,Austria,452,944,593,2669,2762,12912,18476,56810,41401,86540,4.311832671,"An exquisitely understated ode to the thrill of romantic possibility, the inaugural installment ofThe Before Trilogyopens with a chance encounter between two solitary young strangers. After they hit it off on a train bound for Vienna, the Paris university student Celine and the scrappy American tourist Jesse impulsively decide to spend a day together before he returns to the U.S. the next morning. As the pair roam the streets of the stately city, Richard Linklater’s tenderly observant gaze captures the uncertainty and intoxication of young love, from the first awkward stirrings of attraction to the hopeful promise that Celine and Jesse make upon their inevitable parting.",Richard Linklater,United States,1995.0,English
